transfers_out,﻿yellow_cards,﻿code,﻿goals_conceded,﻿photo,﻿saves,﻿influence,﻿ep_this,﻿squad_number,﻿news_added,﻿goals_scored,﻿loans_in,﻿web_name,﻿value_season,﻿in_dreamteam,﻿team_code,﻿id,﻿special,﻿first_name,﻿transfers_out_event,﻿chance_of_playing_next_round,﻿cost_change_start,﻿cost_change_event_fall,﻿creativity,﻿cost_change_start_fall,﻿bonus,﻿ict_index,﻿total_points,﻿penalties_missed,﻿transfers_in,﻿status,﻿form,﻿own_goals,﻿loaned_in,﻿now_cost,﻿points_per_game,﻿clean_sheets,﻿assists,﻿selected_by_percent,﻿value_form,﻿loans_out,﻿news,﻿ea_index,﻿penalties_saved,﻿dreamteam_count,﻿event_points,﻿red_cards,﻿loaned_out,﻿transfers_in_event,﻿bps,﻿element_type,﻿ep_next,﻿threat,﻿team,﻿chance_of_playing_this_round,﻿minutes,﻿second_name,﻿cost_change_event
99196,2,156074,10,﻿156074.jpg,0,﻿77.6,﻿0.5,16,﻿2017-11-05T19:31:15Z,0,0,﻿Holding,﻿2.4,False,3,11,False,﻿Rob,874,100,-5,0,﻿31.0,5,0,﻿12.9,11,0,17888,﻿a,﻿0.5,0,0,45,﻿1.8,1,1,﻿0.6,﻿0.1,0,﻿,0,0,0,3,0,0,1871,91,2,﻿1.5,﻿20.0,1,100,353,﻿Holding,0
288062,2,69140,10,﻿69140.jpg,0,﻿401.2,﻿1.7,20,﻿2018-01-09T12:01:19Z,2,0,﻿Mustafi,﻿11.9,False,3,12,False,﻿Shkodran,15567,100,-1,0,﻿76.4,1,6,﻿59.5,64,0,338764,﻿a,﻿1.7,0,0,54,﻿4.9,7,0,﻿3.2,﻿0.3,0,﻿,0,0,1,1,0,0,23749,313,2,﻿2.7,﻿117.0,1,100,1049,﻿Mustafi,0
1017502,1,111457,18,﻿111457.jpg,0,﻿298.2,﻿0.2,31,﻿2017-12-31T19:31:16Z,1,0,﻿Kolasinac,﻿13.0,False,3,13,False,﻿Sead,93189,0,0,0,﻿248.2,0,6,﻿85.8,78,0,809663,﻿i,﻿0.3,0,0,60,﻿4.6,7,4,﻿8.4,﻿0.1,0,﻿Ankle injury - Expected back 20 Jan,0,0,1,0,0,0,340,344,2,﻿0.0,﻿311.0,1,75,1423,﻿Kolasinac,0
307727,4,37265,21,﻿37265.jpg,0,﻿521.8,﻿5.8,7,﻿2017-12-02T16:31:15Z,7,0,﻿Sánchez,﻿8.2,False,3,14,False,﻿Alexis,10300,100,-2,0,﻿735.7,2,8,﻿217.4,97,0,297984,﻿a,﻿5.8,0,0,118,﻿5.1,7,5,﻿3.1,﻿0.5,0,﻿,0,0,2,2,0,0,22973,303,3,﻿6.8,﻿916.0,1,100,1501,﻿Sánchez,0
121853,0,20467,0,﻿20467.jpg,0,﻿3.0,﻿0.3,14,﻿2017-12-15T09:31:14Z,0,0,﻿Walcott,﻿0.7,False,3,15,False,﻿Theo,501,100,-4,0,﻿1.2,4,0,﻿0.6,5,0,14340,﻿a,﻿0.3,0,0,71,﻿1.0,0,0,﻿0.6,﻿0.0,0,﻿,0,0,0,1,0,0,334,11,3,﻿1.3,﻿2.0,1,100,49,﻿Walcott,0
244853,3,37605,26,﻿37605.jpg,0,﻿479.6,﻿3.0,11,﻿2018-01-10T22:01:18Z,4,0,﻿Özil,﻿8.7,False,3,16,False,﻿Mesut,13595,75,-2,0,﻿920.0,2,10,﻿180.2,81,0,221406,﻿d,﻿4.0,0,0,93,﻿4.5,5,5,﻿2.5,﻿0.4,0,﻿Knee injury - 75% chance of playing,0,0,2,1,0,0,21207,358,3,﻿3.8,﻿401.0,1,75,1460,﻿Özil,0
2078,0,19524,0,﻿19524.jpg,0,﻿0.0,﻿0.0,19,﻿2017-07-12T10:31:11Z,0,0,﻿Cazorla,﻿0.0,False,3,17,False,﻿Santiago,63,0,-1,0,﻿0.0,1,0,﻿0.0,0,0,728,﻿i,﻿0.0,0,0,69,﻿0.0,0,0,﻿0.0,﻿0.0,0,﻿Achilles injury - Unknown return date,0,0,0,0,0,0,35,0,3,﻿0.0,﻿0.0,1,0,0,﻿Cazorla,0
814567,0,41792,13,﻿41792.jpg,0,﻿373.0,﻿0.0,8,﻿2017-12-10T15:31:16Z,3,0,﻿Ramsey,﻿11.7,False,3,18,False,﻿Aaron,7376,0,-1,1,﻿323.9,1,7,﻿122.8,81,0,807399,﻿i,﻿0.0,0,0,69,﻿5.4,7,8,﻿2.4,﻿0.0,0,﻿Hamstring injury - Expected back 14 Jan,0,0,1,0,0,0,1118,311,3,﻿0.0,﻿531.0,1,0,1196,﻿Ramsey,-1
233636,1,81880,17,﻿81880.jpg,0,﻿311.6,﻿3.7,21,,2,0,﻿Chamberlain,﻿9.3,False,14,19,False,﻿Alex,4478,,-4,0,﻿367.2,4,2,﻿103.8,52,0,129215,﻿a,﻿3.2,0,0,56,﻿2.4,3,2,﻿1.7,﻿0.6,0,﻿,0,0,0,2,0,0,5943,253,3,﻿2.7,﻿362.0,10,,1060,﻿Oxlade-Chamberlain,0
37186,0,56864,6,﻿56864.jpg,0,﻿22.2,﻿0.3,34,﻿2017-12-22T20:01:17Z,0,0,﻿Coquelin,﻿1.6,False,3,20,False,﻿Francis,634,100,-2,1,﻿16.9,2,0,﻿4.8,7,0,15698,﻿a,﻿0.3,0,0,43,﻿1.0,0,0,﻿0.6,﻿0.1,0,﻿,0,0,0,0,0,0,316,35,3,﻿1.3,﻿8.0,1,100,164,﻿Coquelin,-1
172204,1,153133,9,﻿153133.jpg,0,﻿162.0,﻿2.2,17,﻿2017-11-29T20:01:14Z,1,0,﻿Iwobi,﻿7.1,False,3,21,False,﻿Alex,1477,100,-4,0,﻿304.0,4,1,﻿79.1,36,0,52315,﻿a,﻿2.2,0,0,51,﻿3.0,6,1,﻿0.5,﻿0.4,0,﻿,0,0,0,0,0,0,889,179,3,﻿3.2,﻿326.0,1,100,764,﻿Iwobi,0
254305,1,153256,5,﻿153256.jpg,0,﻿51.0,﻿0.0,35,,0,0,﻿Elneny,﻿2.6,False,3,22,False,﻿Mohamed,7406,,-3,0,﻿74.1,3,0,﻿14.8,11,0,203962,﻿a,﻿0.0,0,0,42,﻿2.2,1,1,﻿2.6,﻿0.0,0,﻿,0,0,0,0,0,0,5621,54,3,﻿1.0,﻿24.0,1,,263,﻿Elneny,0
943281,4,84450,27,﻿84450.jpg,0,﻿394.8,﻿3.0,29,﻿2018-01-05T10:01:18Z,1,0,﻿Xhaka,﻿13.1,False,3,23,False,﻿Granit,21807,100,-3,0,﻿439.4,3,2,﻿108.3,68,0,842907,﻿a,﻿3.0,0,0,52,﻿3.1,9,4,﻿7.2,﻿0.6,0,﻿,0,0,1,2,0,0,9777,336,3,﻿4.0,﻿250.0,1,100,1900,﻿Xhaka,0
28145,3,54102,9,﻿54102.jpg,0,﻿166.0,﻿3.7,10,﻿2018-01-10T22:01:18Z,1,0,﻿Wilshere,﻿5.4,False,3,24,False,﻿Jack,6826,75,-1,0,﻿120.1,1,2,﻿39.5,29,0,78309,﻿d,﻿3.7,0,0,54,﻿2.6,2,2,﻿1.1,﻿0.7,0,﻿Ankle injury - 75% chance of playing,0,0,0,8,0,0,30674,142,3,﻿3.5,﻿109.0,1,100,626,﻿Wilshere,0
121862,0,44346,3,﻿44346.jpg,0,﻿158.0,﻿0.0,12,﻿2017-12-19T22:01:15Z,4,0,﻿Giroud,﻿4.4,False,3,25,False,﻿Olivier,1445,0,-3,0,﻿117.5,3,4,﻿52.9,36,0,57203,﻿i,﻿0.5,0,0,82,﻿2.4,1,0,﻿1.0,﻿0.1,0,﻿Hamstring injury - Expected back 14 Jan,0,0,1,0,0,0,233,139,4,﻿0.0,﻿255.0,1,0,360,﻿Giroud,0
191121,1,50175,10,﻿50175.jpg,0,﻿164.4,﻿0.8,23,﻿2017-11-18T12:31:16Z,3,0,﻿Welbeck,﻿5.2,False,3,26,False,﻿Danny,1459,100,-2,0,﻿137.0,2,3,﻿54.7,38,0,155232,﻿a,﻿0.8,0,0,73,﻿2.5,3,1,﻿0.8,﻿0.1,0,﻿,0,0,1,1,0,0,1427,143,4,﻿1.8,﻿244.0,1,100,610,﻿Welbeck,0
8872,0,155851,0,﻿155851.jpg,0,﻿0.0,﻿0.0,28,﻿2017-08-31T18:31:14Z,0,0,﻿Pérez,﻿0.0,False,3,27,False,﻿Lucas,48,0,-1,0,﻿0.0,1,0,﻿0.0,0,0,485,﻿u,﻿0.0,0,0,74,﻿0.0,0,0,﻿0.1,﻿0.0,0,﻿Joined Deportivo La Coruna on loan for the season,0,0,0,0,0,0,10,0,4,﻿0.0,﻿0.0,1,0,0,﻿Pérez,0
1541312,1,59966,18,﻿59966.jpg,0,﻿430.0,﻿3.3,9,﻿2017-12-02T16:31:15Z,8,0,﻿Lacazette,﻿8.3,False,3,28,False,﻿Alexandre,26520,100,-2,0,﻿318.2,2,3,﻿166.8,86,0,1138024,﻿a,﻿3.3,0,0,103,﻿3.9,8,4,﻿8.9,﻿0.3,0,﻿,0,0,1,2,0,0,31193,326,4,﻿4.3,﻿919.0,1,100,1513,﻿Lacazette,0
197746,2,40349,34,﻿40349.jpg,63,﻿449.4,﻿1.3,27,,0,0,﻿Begovic,﻿15.3,False,91,29,False,﻿Asmir,8077,,0,0,﻿10.0,0,4,﻿45.7,69,0,136659,﻿a,﻿1.3,0,0,45,﻿3.1,4,0,﻿4.2,﻿0.3,0,﻿,0,1,3,2,0,0,2022,365,1,﻿0.3,﻿0.0,2,,1980,﻿Begovic,0
146496,0,18726,0,﻿18726.jpg,0,﻿0.0,﻿0.0,1,,0,0,﻿Boruc,﻿0.0,False,91,30,False,﻿Artur,1347,,-3,0,﻿0.0,3,0,﻿0.0,0,0,5572,﻿a,﻿0.0,0,0,42,﻿0.0,0,0,﻿1.3,﻿0.0,0,﻿,0,0,0,0,0,0,246,0,1,﻿-1.0,﻿0.0,2,,0,﻿Boruc,0
130455,0,15885,0,﻿15885.jpg,0,﻿0.0,﻿0.0,32,﻿2017-08-31T20:01:14Z,0,0,﻿Federici,﻿0.0,False,91,31,False,﻿Adam,2838,0,0,0,﻿0.0,0,0,﻿0.0,0,0,13726,﻿i,﻿0.0,0,0,40,﻿0.0,0,0,﻿2.3,﻿0.0,0,﻿Knee injury - Unknown return date,0,0,0,0,0,0,351,0,1,﻿0.0,﻿0.0,2,0,0,﻿Federici,0
148813,5,15149,24,﻿15149.jpg,0,﻿410.2,﻿0.7,2,﻿2017-12-26T14:01:16Z,0,0,﻿Francis,﻿6.5,False,91,32,False,﻿Simon,2288,100,-2,0,﻿272.4,2,1,﻿76.6,28,0,53700,﻿a,﻿0.7,0,0,43,﻿1.6,2,0,﻿0.9,﻿0.2,0,﻿,0,0,0,0,1,0,1751,259,2,﻿-0.3,﻿83.0,2,100,1522,﻿Francis,0
86780,4,56917,27,﻿56917.jpg,0,﻿426.2,﻿2.2,3,﻿2017-09-15T19:01:13Z,2,0,﻿Steve Cook,﻿10.6,False,91,33,False,﻿Steve,2771,100,-3,0,﻿37.4,3,6,﻿62.1,50,0,105778,﻿a,﻿2.2,0,0,47,﻿2.8,3,0,﻿1.3,﻿0.5,0,﻿,0,0,2,9,0,0,4297,249,2,﻿1.2,﻿158.0,2,100,1423,﻿Cook,0
974004,0,41320,25,﻿41320.jpg,0,﻿341.8,﻿0.5,11,﻿2017-12-30T15:01:17Z,1,0,﻿Daniels,﻿12.3,False,91,34,False,﻿Charlie,15208,100,-3,0,﻿277.6,3,4,﻿75.3,58,0,429248,﻿a,﻿0.5,0,0,47,﻿3.1,4,1,﻿6.4,﻿0.1,0,﻿,0,0,0,1,0,0,3320,336,2,﻿-0.5,﻿133.0,2,100,1675,﻿Daniels,0
39625,5,54469,29,﻿54469.jpg,0,﻿307.4,﻿2.3,15,﻿2017-12-03T16:01:14Z,0,0,﻿Adam Smith,﻿8.1,False,91,35,False,﻿Adam,465,100,-2,0,﻿269.5,2,3,﻿67.0,39,0,6480,﻿a,﻿2.3,0,0,48,﻿1.9,2,2,﻿0.4,﻿0.5,0,﻿,0,0,0,6,0,0,671,292,2,﻿1.3,﻿92.0,2,100,1586,﻿Smith,0
16812,1,149484,4,﻿149484.jpg,0,﻿22.6,﻿0.0,26,﻿2017-09-22T08:31:14Z,0,0,﻿Mings,﻿0.0,False,91,36,False,﻿Tyrone,183,0,-2,0,﻿0.3,2,0,﻿2.5,0,0,2370,﻿i,﻿0.0,0,0,43,﻿0.0,0,0,﻿0.2,﻿0.0,0,﻿Back injury - Unknown return date,0,0,0,0,0,0,34,17,2,﻿0.0,﻿2.0,2,0,135,﻿Mings,0
170310,0,120447,0,﻿120447.jpg,0,﻿0.0,﻿0.0,14,﻿2017-10-10T11:31:14Z,0,0,﻿Brad Smith,﻿0.0,False,91,37,False,﻿Bradley,3581,100,-1,0,﻿0.0,1,0,﻿0.0,0,0,59736,﻿a,﻿0.0,0,0,39,﻿0.0,0,0,﻿2.5,﻿0.0,0,﻿,0,0,0,0,0,0,2351,0,2,﻿-1.0,﻿0.0,2,0,0,﻿Smith,0
320001,3,126184,32,﻿126184.jpg,0,﻿514.0,﻿2.2,5,﻿2017-08-30T23:01:13Z,1,0,﻿Aké,﻿12.0,False,91,38,False,﻿Nathan,9067,100,-1,0,﻿54.6,1,5,﻿69.2,59,0,141148,﻿a,﻿2.2,0,0,49,﻿2.7,4,1,﻿4.1,﻿0.4,0,﻿,0,0,0,1,0,0,3939,364,2,﻿1.2,﻿122.0,2,100,1912,﻿Aké,0
38307,4,48615,13,﻿48615.jpg,0,﻿146.0,﻿0.7,8,﻿2017-12-30T15:01:17Z,1,0,﻿Arter,﻿5.7,False,91,39,False,﻿Harry,392,100,-3,0,﻿76.1,3,0,﻿29.2,27,0,12554,﻿a,﻿0.7,0,0,47,﻿2.1,3,0,﻿0.4,﻿0.1,0,﻿,0,0,0,2,0,0,246,156,3,﻿-0.3,﻿69.0,2,100,959,﻿Arter,0
6130,2,20037,15,﻿20037.jpg,0,﻿73.0,﻿0.8,7,,0,0,﻿Pugh,﻿4.9,False,91,40,False,﻿Marc,115,,-3,0,﻿160.1,3,0,﻿43.4,23,0,2623,﻿a,﻿0.8,0,0,47,﻿1.6,4,0,﻿0.1,﻿0.2,0,﻿,0,0,0,1,0,0,38,70,3,﻿-0.2,﻿204.0,2,,782,﻿Pugh,0
530313,1,15237,24,﻿15237.jpg,0,﻿382.6,﻿0.5,6,﻿2018-01-01T12:31:17Z,2,0,﻿Surman,﻿14.0,False,91,41,False,﻿Andrew,28957,100,2,0,﻿197.9,-2,7,﻿66.8,66,0,749317,﻿a,﻿0.7,0,0,47,﻿3.9,4,4,﻿5.6,﻿0.1,0,﻿,0,0,1,0,0,0,10921,295,3,﻿-0.3,﻿88.0,2,75,1530,﻿Surman,0
16278,1,56872,11,﻿56872.jpg,0,﻿134.2,﻿0.0,19,﻿2017-12-23T20:31:16Z,1,0,﻿Stanislas,﻿4.9,False,91,42,False,﻿Junior,216,0,-1,0,﻿183.0,1,3,﻿49.7,29,0,13281,﻿i,﻿0.7,0,0,59,﻿2.9,1,1,﻿0.1,﻿0.1,0,﻿Hamstring injury - Expected back 14 Jan,0,0,1,0,0,0,43,110,3,﻿0.0,﻿184.0,2,0,675,﻿Stanislas,0
5304,1,40387,17,﻿40387.jpg,0,﻿163.0,﻿3.0,4,﻿2017-09-30T13:01:14Z,1,0,﻿Gosling,﻿6.0,False,91,43,False,﻿Dan,529,100,-2,0,﻿95.6,2,2,﻿40.2,29,0,5162,﻿a,﻿3.0,0,0,48,﻿2.4,0,1,﻿0.1,﻿0.6,0,﻿,0,0,0,1,0,0,230,118,3,﻿2.0,﻿143.0,2,100,732,﻿Gosling,0
3927,0,59741,0,﻿59741.jpg,0,﻿0.0,﻿0.0,10,﻿2017-08-18T06:54:02Z,0,0,﻿Gradel,﻿0.0,False,91,44,False,﻿Max,39,0,0,0,﻿0.0,0,0,﻿0.0,0,0,132,﻿u,﻿0.0,0,0,50,﻿0.0,0,0,﻿0.0,﻿0.0,0,﻿Season-long loan to Toulouse,0,0,0,0,0,0,3,0,3,﻿0.0,﻿0.0,2,0,0,﻿Gradel,0
42000,1,103912,21,﻿103912.jpg,0,﻿206.0,﻿2.2,33,﻿2017-11-25T15:01:15Z,0,0,﻿Ibe,﻿9.0,False,91,45,False,﻿Jordon,840,100,-2,0,﻿434.3,2,0,﻿103.6,43,0,33254,﻿a,﻿2.2,0,0,48,﻿2.1,2,4,﻿0.4,﻿0.5,0,﻿,0,0,0,5,0,0,1405,171,3,﻿1.2,﻿397.0,2,100,1206,﻿Ibe,0
50908,3,155408,17,﻿155408.jpg,0,﻿169.0,﻿1.3,16,,0,0,﻿Lewis Cook,﻿5.8,False,91,46,False,﻿Lewis,1736,,-2,0,﻿179.8,2,0,﻿40.5,25,0,42004,﻿a,﻿1.3,0,0,43,﻿1.8,1,1,﻿0.9,﻿0.3,0,﻿,0,0,0,2,0,0,1784,160,3,﻿0.3,﻿55.0,2,,913,﻿Cook,0
71597,0,90105,17,﻿90105.jpg,0,﻿193.2,﻿3.7,24,﻿2018-01-01T12:31:17Z,3,0,﻿Fraser,﻿8.4,False,91,47,False,﻿Ryan,6693,75,-4,0,﻿243.1,4,6,﻿63.1,43,0,39197,﻿d,﻿3.7,0,0,51,﻿3.3,0,0,﻿0.6,﻿0.7,0,﻿Hamstring injury - 75% chance of playing,0,0,2,0,0,0,762,161,3,﻿2.0,﻿198.0,2,100,867,﻿Fraser,0
326932,0,75115,11,﻿75115.jpg,0,﻿194.6,﻿3.2,13,﻿2017-12-17T16:31:16Z,5,0,﻿Wilson,﻿7.9,False,91,48,False,﻿Callum,10421,100,-3,0,﻿104.3,3,4,﻿74.0,45,0,432716,﻿a,﻿3.2,0,0,57,﻿3.8,3,0,﻿2.2,﻿0.6,0,﻿,0,0,1,6,0,0,23299,155,4,﻿2.2,﻿444.0,2,100,786,﻿Wilson,0
31651,0,88498,12,﻿88498.jpg,0,﻿33.8,﻿1.0,9,﻿2017-10-28T18:01:14Z,0,0,﻿Afobe,﻿4.0,False,91,49,False,﻿Benik,287,100,-3,0,﻿62.1,3,0,﻿31.2,23,0,6755,﻿a,﻿1.0,0,0,57,﻿1.4,0,1,﻿0.2,﻿0.2,0,﻿,0,0,0,2,0,0,198,71,4,﻿0.0,﻿219.0,2,100,533,﻿Afobe,0
9226,0,178304,4,﻿178304.jpg,0,﻿8.8,﻿0.5,31,,0,0,﻿Mousset,﻿2.0,False,91,50,False,﻿Lys,278,,-1,0,﻿8.8,1,0,﻿7.4,10,0,7107,﻿a,﻿0.5,0,0,49,﻿1.1,1,0,﻿0.1,﻿0.1,0,﻿,0,0,0,1,0,0,231,22,4,﻿-0.5,﻿58.0,2,,154,﻿Mousset,0
321796,1,78007,20,﻿78007.jpg,0,﻿274.4,﻿0.5,17,﻿2017-12-30T15:01:17Z,2,0,﻿King,﻿7.4,False,91,51,False,﻿Joshua,3287,50,-5,0,﻿324.0,5,2,﻿110.9,52,0,85609,﻿d,﻿2.0,0,0,70,﻿2.9,4,3,﻿1.1,﻿0.3,0,﻿Hamstring injury - 50% chance of playing,0,0,0,0,0,0,271,177,4,﻿0.5,﻿509.0,2,25,1465,﻿King,0
204565,1,7958,15,﻿7958.jpg,0,﻿146.6,﻿0.0,18,﻿2017-12-20T20:31:16Z,3,0,﻿Defoe,﻿5.4,False,91,52,False,﻿Jermain,1845,0,-4,0,﻿110.2,4,4,﻿60.1,41,0,46325,﻿i,﻿0.5,0,0,76,﻿2.7,2,1,﻿1.3,﻿0.1,0,﻿Ankle injury - Unknown return date,0,0,1,0,0,0,117,129,4,﻿0.0,﻿348.0,2,0,787,﻿Defoe,0
38176,0,48860,0,﻿48860.jpg,0,﻿0.0,﻿0.0,12,,0,0,﻿Mäenpää,﻿0.0,False,36,53,False,﻿Niki,1276,,0,0,﻿0.0,0,0,﻿0.0,0,0,26037,﻿a,﻿0.0,0,0,40,﻿0.0,0,0,﻿1.0,﻿0.0,0,﻿,0,0,0,0,0,0,873,0,1,﻿0.0,﻿0.0,3,,0,﻿Mäenpää,0
54363,0,131897,27,﻿131897.jpg,71,﻿497.4,﻿5.0,1,,0,0,﻿Ryan,﻿19.3,False,36,54,False,﻿Mathew,7619,,0,0,﻿0.0,0,7,﻿49.8,87,0,130521,﻿a,﻿5.0,0,0,45,﻿4.0,8,0,﻿2.2,﻿1.1,0,﻿,0,0,2,3,0,0,20476,425,1,﻿5.0,﻿0.0,3,,1980,﻿Ryan,0
134930,5,83299,27,﻿83299.jpg,0,﻿590.4,﻿4.0,5,,0,0,﻿Dunk,﻿13.1,False,36,55,False,﻿Lewis,9759,,0,0,﻿76.8,0,5,﻿94.3,59,0,238437,﻿a,﻿4.0,3,0,45,﻿2.7,8,0,﻿3.5,﻿0.9,0,﻿,0,0,0,1,0,0,13790,386,2,﻿4.0,﻿275.0,3,,1980,﻿Dunk,0
151962,5,61933,26,﻿61933.jpg,0,﻿550.8,﻿2.3,22,﻿2017-12-16T18:01:15Z,0,0,﻿Duffy,﻿14.3,False,36,56,False,﻿Shane,11284,100,1,0,﻿60.3,-1,5,﻿90.3,66,0,323478,﻿a,﻿2.3,0,0,46,﻿3.1,8,1,﻿3.8,﻿0.5,0,﻿,0,0,1,1,0,0,23153,373,2,﻿2.3,﻿292.0,3,100,1872,﻿Duffy,0
346115,0,19071,1,﻿19071.jpg,0,﻿7.0,﻿0.0,4,,0,0,﻿Hünemeier,﻿0.3,False,36,57,False,﻿Uwe,9478,,-1,0,﻿0.3,1,0,﻿0.9,1,0,301819,﻿a,﻿0.0,0,0,39,﻿1.0,0,0,﻿6.2,﻿0.0,0,﻿,0,0,0,0,0,0,4249,5,2,﻿0.0,﻿2.0,3,,17,﻿Hünemeier,0
49092,3,11352,17,﻿11352.jpg,0,﻿261.2,﻿3.3,2,﻿2017-09-15T19:01:13Z,0,0,﻿Bruno,﻿14.2,False,36,58,False,﻿Bruno,6381,100,0,0,﻿102.8,0,5,﻿38.4,64,0,108828,﻿a,﻿3.3,0,0,45,﻿3.4,8,0,﻿1.5,﻿0.7,0,﻿,0,0,0,1,0,0,8124,319,2,﻿3.3,﻿18.0,3,100,1545,﻿Saltor Grau,0
